"Koulutustasomittain";"180";"Pello";"854";"yhteensä";2015;267;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Pello";"854";"yhteensä";2015;5.5;100
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Pello";"854";"yhteensä";2015;4.7;17
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Pello";"854";"yhteensä";2015;19.3;70
"Koulutustasomittain";"180";"Pirkkala";"604";"yhteensä";2015;436;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Pirkkala";"604";"yhteensä";2015;9.1;732
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Pirkkala";"604";"yhteensä";2015;3.1;59
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Pirkkala";"604";"yhteensä";2015;38.0;718
"Koulutustasomittain";"180";"Pornainen";"611";"yhteensä";2015;328;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Pornainen";"611";"yhteensä";2015;12.1;230
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Pornainen";"611";"yhteensä";2015;3.5;18
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Pornainen";"611";"yhteensä";2015;12.1;62
"Koulutustasomittain";"180";"Posio";"614";"yhteensä";2015;246;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Posio";"614";"yhteensä";2015;6.9;112
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Posio";"614";"yhteensä";2015;6.6;23
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Posio";"614";"yhteensä";2015;9.2;32
"Koulutustasomittain";"180";"Puolanka";"620";"yhteensä";2015;239;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Puolanka";"620";"yhteensä";2015;6.7;95
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Puolanka";"620";"yhteensä";2015;9.0;25
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Puolanka";"620";"yhteensä";2015;14.8;41
"Koulutustasomittain";"180";"Puumala";"623";"yhteensä";2015;265;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Puumala";"623";"yhteensä";2015;6.4;75
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Puumala";"623";"yhteensä";2015;5.8;13
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Puumala";"623";"yhteensä";2015;35.8;81
"Koulutustasomittain";"180";"Rautavaara";"687";"yhteensä";2015;206;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Rautavaara";"687";"yhteensä";2015;10.4;92
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Rautavaara";"687";"yhteensä";2015;2.3;4
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Rautavaara";"687";"yhteensä";2015;19.0;33
"Koulutustasomittain";"180";"Rautjärvi";"689";"yhteensä";2015;244;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Rautjärvi";"689";"yhteensä";2015;6.0;113
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Rautjärvi";"689";"yhteensä";2015;2.3;8
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Rautjärvi";"689";"yhteensä";2015;18.4;65
"Koulutustasomittain";"180";"Ristijärvi";"697";"yhteensä";2015;272;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Ristijärvi";"697";"yhteensä";2015;6.4;43
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Ristijärvi";"697";"yhteensä";2015;10.4;14
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Ristijärvi";"697";"yhteensä";2015;18.5;25
"Koulutustasomittain";"180";"Rääkkylä";"707";"yhteensä";2015;253;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Rääkkylä";"707";"yhteensä";2015;9.3;114
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Rääkkylä";"707";"yhteensä";2015;5.5;13
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Rääkkylä";"707";"yhteensä";2015;18.7;44
"Koulutustasomittain";"180";"Salla";"732";"yhteensä";2015;244;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Salla";"732";"yhteensä";2015;7.0;130
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Salla";"732";"yhteensä";2015;3.8;14
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Salla";"732";"yhteensä";2015;9.9;37
"Koulutustasomittain";"180";"Savukoski";"742";"yhteensä";2015;275;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Savukoski";"742";"yhteensä";2015;5.6;29
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Savukoski";"742";"yhteensä";2015;1.9;2
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Savukoski";"742";"yhteensä";2015;11.3;12
"Koulutustasomittain";"180";"Siuntio";"755";"yhteensä";2015;379;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Siuntio";"755";"yhteensä";2015;9.6;243
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Siuntio";"755";"yhteensä";2015;2.7;17
